T,d2G_FCC_A1_ZN_Eut
547,54227.4483767610
548,53605.4244864350
549,52995.6969924085
550,52397.7675320859
551,51811.1649274193
552,51235.4433273583
553,50670.1805014225
554,50114.9762701697
555,49569.4510599386
556,49033.2445704424
557,48506.0145450778
558,47987.4356347841
559,47477.1983472127
560,46975.0080738377
561,46480.5841882921
562,45993.6592099195
563,45513.9780270701
564,45041.2971752317
565,44575.3841654774
566,44116.0168592205
567,43662.9828855288
568,43216.0790977016
569,42775.1110659930
570,42339.8926037467
571,41910.2453243522
572,41485.9982267498
573,41066.9873073031
574,40653.0551961383
575,40244.0508161478
576,39839.8290630223
577,39440.2505048256
578,39045.1810997041
579,38654.4919305020
580,38268.0589550774
581,37885.7627712676
582,37507.4883955055
583,37133.1250541690
584,36762.5659868098
585,36395.7082605245
586,36032.4525946648
587,35672.7031953149
588,35316.3675988286
589,34963.3565239243
590,34613.5837317502
591,34266.9658934648
592,33923.4224648507
593,33582.8755675441
594,33245.2498764968
595,32910.4725132662
596,32578.4729448401
597,32249.1828876225
598,31922.5362163389
599,31598.4688775338
600,31276.9188074385
601,30957.8258539468
602,30641.1317024840
603,30326.7798055545
604,30014.7153157798
605,29704.8850222260
606,29397.2372898819
607,29091.7220020904
608,28788.2905058131
609,28486.8955595819
610,28187.4912839993
611,27890.0331146778
612,27594.4777574979
613,27300.7831460889
614,27008.9084014285
615,26718.8137934625
616,26430.4607046840
617,26143.8115955724
618,25858.8299718277
619,25575.4803533360
620,25293.7282448030
621,25013.5401080007
622,24734.8833355746
623,24457.7262263694
624,24182.0379622307
625,23907.7885862374
626,23634.9489823540
627,23363.4908564534
628,23093.3867186959
629,22824.6098672511
630,22557.1343733416
631,22290.9350675960
632,22025.9875277206
633,21762.2680674681
634,21499.7537269319
635,21238.4222641496
636,20978.2521480541
637,20719.2225527707
638,20461.3133533076
639,20204.5051226489
640,19948.7791302990
641,19694.1173423268
642,19440.5024229526
643,19187.9177377320
644,18936.3473584250
645,18685.7760695946
646,18436.1893770558
647,18187.5735182355
648,17939.9154745764
649,17693.2029860954
650,17447.4245682218
651,17202.5695310759
652,16958.6280013449
653,16715.5909469343
654,16473.4502046035
