T,X_Al_FCC_A1,X_Al_LIQUID
547,0.117064709,0.0165613092
548,0.1186507648,0.0169920153
549,0.1202380346,0.0174293177
550,0.121826676,0.0178732773
551,0.1234168449,0.0183239553
552,0.1250086959,0.0187814139
553,0.1266023824,0.0192457158
554,0.1281980568,0.0197169243
555,0.1297958704,0.0201951035
556,0.1313959735,0.0206803181
557,0.1329985156,0.0211726336
558,0.1346036457,0.021672116
559,0.136211512,0.0221788322
560,0.1378222622,0.0226928497
561,0.1394360435,0.0232142369
562,0.1410530029,0.0237430629
563,0.1426732869,0.0242793974
564,0.144297042,0.024823311
565,0.1459244146,0.025374875
566,0.1475555508,0.0259341617
567,0.1491905971,0.026501244
568,0.1508296999,0.0270761956
569,0.1524730059,0.0276590911
570,0.154120662,0.0282500059
571,0.1557728155,0.0288490164
572,0.157429614,0.0294561996
573,0.1590912058,0.0300716336
574,0.1607577396,0.0306953972
575,0.1624293649,0.0313275703
576,0.1641062317,0.0319682334
577,0.1657884909,0.0326174682
578,0.1674762943,0.0332753573
579,0.1691697945,0.033941984
580,0.1708691452,0.0346174328
581,0.1725745011,0.035301789
582,0.1742860182,0.0359951391
583,0.1760038534,0.0366975702
584,0.1777281652,0.0374091709
585,0.1794591133,0.0381300303
586,0.1811968589,0.0388602389
587,0.1829415646,0.0395998879
588,0.1846933947,0.0403490699
589,0.1864525151,0.0411078783
590,0.1882190936,0.0418764075
591,0.1899932994,0.0426547532
592,0.1917753042,0.043443012
593,0.1935652811,0.0442412817
594,0.1953634057,0.0450496611
595,0.1971698556,0.0458682502
596,0.1989848104,0.04669715
597,0.2008084524,0.0475364627
598,0.2026409661,0.0483862916
599,0.2044825386,0.0492467412
600,0.2063333594,0.050117917
601,0.208193621,0.0509999257
602,0.2100635184,0.0518928753
603,0.2119432497,0.0527968747
604,0.2138330159,0.0537120342
605,0.215733021,0.0546384651
606,0.2176434724,0.05557628
607,0.2195645807,0.0565255925
608,0.22149656,0.0574865175
609,0.2234396278,0.058459171
610,0.2253940055,0.0594436702
611,0.2273599181,0.0604401335
612,0.2293375946,0.0614486803
613,0.231327268,0.0624694312
614,0.2333291756,0.0635025082
615,0.2353435588,0.0645480341
616,0.2373706638,0.065606133
617,0.2394107411,0.06667693
618,0.2414640461,0.0677605514
619,0.2435308392,0.0688571246
620,0.2456113857,0.0699667779
621,0.2477059565,0.0710896409
622,0.2498148275,0.072225844
623,0.2519382806,0.0733755187
624,0.2540766032,0.0745387975
625,0.2562300889,0.0757158136
626,0.2583990374,0.0769067015
627,0.2605837549,0.0781115963
628,0.262784554,0.0793306339
629,0.2650017544,0.0805639512
630,0.2672356826,0.0818116856
631,0.2694866727,0.0830739754
632,0.2717550662,0.0843509594
633,0.2740412123,0.0856427769
634,0.2763454684,0.086949568
635,0.2786682003,0.0882714728
636,0.2810097823,0.0896086322
637,0.2833705978,0.0909611872
638,0.2857510393,0.0923292788
639,0.2881515088,0.0937130485
640,0.2905724185,0.0951126375
641,0.2930141905,0.096528187
642,0.2954772577,0.097959838
643,0.297962064,0.0994077312
644,0.3004690644,0.1008720067
645,0.302998726,0.1023528043
646,0.3055515278,0.1038502629
647,0.3081279616,0.1053645204
648,0.3107285322,0.1068957138
649,0.313353758,0.1084439789
650,0.3160041712,0.11000945
651,0.3186803188,0.11159226
652,0.3213827628,0.1131925399
653,0.3241120806,0.1148104187
654,0.3268688659,0.1164460231
