T,d2G_FCC_A1_AL_0.817
793,18873.8155342736
794,19209.1865361826
795,19549.6556117840
796,19895.3183248452
797,20246.3262919402
798,20602.8097826569
799,20964.9040005354
800,21332.7484402602
801,21706.4868073391
802,22086.2670807689
803,22472.2416268410
804,22864.5673377371
805,23263.4057859879
806,23668.9233914810
807,24081.2915998167
808,24500.6870716874
809,24927.2918833690
810,25361.2937386127
811,25802.8861923889
812,26252.2688869896
813,26709.6478010946
814,27175.2355124146
815,27649.2514746828
816,28131.9223096968
817,28623.4821152731
818,29124.1727899958
819,29634.2443757115
820,30153.9554187970
821,30683.5733513001
822,31223.3748931479
823,31773.6464766799
824,32334.6846948995
825,32906.7967748979
826,33490.3010780367
827,34085.5276286219
828,34692.8186728790
829,35312.5292702459
830,35945.0279190735
831,36590.6972191384
832,37249.9345733331
833,37923.1529313607
834,38610.7815782504
835,39313.2669709093
836,40031.0736260880
837,40764.6850634986
838,41514.6048080502
839,42281.3574556131
840,43065.4898069717
841,43867.5720751908
842,44688.1991718883
843,45527.9920785841
844,46387.5993097081
845,47267.6984744960
846,48168.9979456905
847,49092.2386436596
848,50038.1959453260
849,51007.6817282966
850,52001.5465614143
851,53020.6820542191
852,54066.0233788624
853,55138.5519794688
854,56239.2984854068
855,57369.3458466049
856,58529.8327108289
857,59721.9570650345
858,60946.9801650054
859,62206.2307801613
860,63501.1097829640
861,64833.0951152996
862,66203.7471669167
863,67614.7146027363
864,69067.7406751218
865,70564.6700462635
866,72107.4561003748
867,73698.1685273950
868,75338.9998587715
869,77032.2588736557
870,78780.5778648956
