Temp,"HSN(Al,Al)@fcc","HSN(Re,Re)@fcc","HSN(Al,Re)@fcc"
1741,337737,670122,163973
1740,336326,695886,164453
1739,334946,723963,164946
1738,333597,754661,165454
1737,332279,788340,165977
1736,330993,825423,166518
1735,329741,866402,167079
1734,328524,911857,167664
1733,327343,962460,168276
1732,326202,1.01899e+06,168919
1731,325104,1.08235e+06,169598
1730,324054,1.15354e+06,170319
1729,323059,1.23364e+06,171090
1728,322129,1.3238e+06,171917
1727,321274,1.42506e+06,172810
1726,320512,1.53822e+06,173777
