T,Cp,H(@Liquid)-H(@Fcc)
K,J/(mole K),
1560,36.13595625,13576.02517
1561,36.15086869,13582.08946
1562,36.16592021,13588.14854
1563,36.18115212,13594.20267
1564,36.19653725,13600.25214
1565,36.2120797,13606.29723
1566,36.22776609,13612.33827
1567,36.24361696,13618.37561
1568,36.25962757,13624.40962
1569,36.27585578,13630.44069
1570,36.29222607,13636.46926
1571,36.30884278,13642.49579
1572,36.32557998,13648.52074
1573,36.34252717,13654.54463
1574,36.35967642,13660.56802
1575,36.3770379,13666.59151
1576,36.39459621,13672.61568
1577,36.41237272,13678.6412
1578,36.43038246,13684.66878
1579,36.44860118,13690.69914
1580,36.46707224,13696.73305
1581,36.48576889,13702.77134
1582,36.50470279,13708.81486
1583,36.5238992,13714.86452
1584,36.54336836,13720.9213
1585,36.56307605,13726.98617
1586,36.58304532,13733.06021
1587,36.6033528,13739.14453
1588,36.62390935,13745.24029
1589,36.64472529,13751.34871
1590,36.66589028,13757.47118
1591,36.68734927,13763.60885
1592,36.70911743,13769.76321
1593,36.73126406,13775.93572
1594,36.75372422,13782.12795
1595,36.77653222,13788.34147
1596,36.79967045,13794.57797
1597,36.823205,13800.83919
1598,36.84712906,13807.12696
1599,36.87144114,13813.44318
1600,36.89613523,13819.78982
1601,36.92126483,13826.16895
1602,36.94681992,13832.58269
1603,36.9727965,13839.03329
1604,36.99925205,13845.52304
1605,37.02618198,13852.05436
1606,37.05355764,13858.62973
1607,37.0814575,13865.25175
1608,37.10987899,13871.92309
1609,37.13879405,13878.64654
1610,37.16824666,13885.42495
1611,37.19831493,13892.26133
1612,37.22892791,13899.15875
1613,37.26013273,13906.12038
1614,37.29199976,13913.14953
1615,37.32444422,13920.24958
1616,37.35759145,13927.42406
1617,37.39135929,13934.67657
1618,37.42590478,13942.01087
1619,37.46112994,13949.43077
1620,37.49710462,13956.94025
1621,37.53387041,13964.5434
1622,37.57142546,13972.24438
1623,37.60982721,13980.04754
1624,37.64907693,13987.95729
1625,37.68920273,13995.97819
1626,37.73026465,14004.1149
1627,37.77223157,14012.37224
1628,37.81522492,14020.75511
1629,37.85920065,14029.26855
1630,37.90424543,14037.91771
1631,37.95041891,14046.70788
1632,37.99765223,14055.64446
1633,38.04609768,14064.73297
1634,38.09577199,14073.97906
1635,38.14669424,14083.38848
1636,38.19891504,14092.96712
1637,38.25249226,14102.72096
1638,38.30746926,14112.65613
1639,38.36390152,14122.77885
1640,38.42188995,14133.09545
1641,38.48143457,14143.61238
1642,38.54259544,14154.33619
1643,38.60550141,14165.27353
1644,38.67013406,14176.43117
1645,38.73662997,14187.81596
1646,38.8050386,14199.43484
1647,38.87545098,14211.29487
1648,38.94794481,14223.40315
1649,39.02257346,14235.7669
1650,39.09944605,14248.3934
1651,39.17869708,14261.29001
1652,39.26039695,14274.46414
1653,39.34465908,14287.92328
1654,39.43160325,14301.67496
1655,39.5212626,14315.7267
