T,X_AL_FCC_A1#1_,X_AL_FCC_A1#2_
300,0.98844188,0.18713744
310,0.98656767,0.19294553
320,0.98451301,0.19889330
330,0.98227138,0.20498867
340,0.97983599,0.21124019
350,0.97719972,0.21765708
360,0.97435495,0.22424932
370,0.97129346,0.23102781
380,0.96800626,0.23800439
390,0.96448343,0.24519209
400,0.96071397,0.25260520
410,0.95668553,0.26025951
420,0.95238423,0.26817257
430,0.94779433,0.27636389
440,0.94289788,0.28485540
450,0.93767430,0.29367178
460,0.93209983,0.30284106
470,0.92614687,0.31239530
480,0.91978308,0.32237143
490,0.91297023,0.33281245
500,0.90566274,0.34376896
510,0.89780553,0.35530121
520,0.88933119,0.36748203
530,0.88015582,0.38040098
540,0.87017292,0.39417050
550,0.85924397,0.40893533
