T,X_Al_HCP_A3,X_Al_LIQUID
547,0.0515538904,0.7888736768
548,0.0518055225,0.7858032282
549,0.0520551812,0.7826656025
550,0.0523027791,0.77945808
551,0.0525482261,0.7761777706
552,0.0527914287,0.7728216005
553,0.0530322898,0.7693862961
554,0.0532707089,0.7658683679
555,0.0535065814,0.7622640916
556,0.0537397985,0.7585694877
557,0.0539702471,0.7547802992
558,0.0541978089,0.750891967
559,0.0544223606,0.7468996026
560,0.0546437734,0.7427979582
561,0.0548619122,0.738581394
562,0.0550766354,0.7342438421
563,0.0552877943,0.729778767
564,0.0554952323,0.7251791227
565,0.0556987846,0.7204373056
566,0.0558982769,0.7155451046
567,0.056093525,0.7104936465
568,0.0562843335,0.7052733395
569,0.056470495,0.6998738135
570,0.0566517886,0.6942838608
571,0.056827979,0.6884913773
572,0.0569988143,0.6824833101
573,0.0571640252,0.6762456154
574,0.0573233224,0.6697632352
575,0.0574763951,0.6630201039
576,0.0576229086,0.6559992016
577,0.0577625018,0.6486826748
578,0.0578947853,0.641052055
579,0.0580193381,0.6330886146
580,0.058135706,0.6247739078
581,0.058243399,0.6160905557
582,0.0583418897,0.6070233366
583,0.0584306129,0.5975606389
584,0.0585089666,0.5876963014
585,0.0585763143,0.5774318099
586,0.0586319913,0.566778707
587,0.0586753133,0.5557609295
588,0.0587055891,0.5444166142
589,0.0587221371,0.532798802
590,0.0587243045,0.5209744915
591,0.0587114866,0.5090217447
592,0.0586831469,0.4970250134
593,0.0586388316,0.4850693823
594,0.0585781802,0.4732347815
595,0.0585009289,0.4615912182
596,0.0584069088,0.4501957232
597,0.0582960382,0.4390911852
598,0.0581683131,0.4283068011
599,0.0580237947,0.417859625
600,0.0578625987,0.4077566725
601,0.0576848832,0.3979971457
602,0.0574908402,0.3885744958
603,0.0572806865,0.3794781819
604,0.0570546578,0.3706950824
605,0.056813003,0.3622105775
606,0.0565559802,0.3540093469
607,0.0562838534,0.3460759371
608,0.0559968898,0.3383951509
609,0.0556953586,0.3309523022
610,0.0553795288,0.3237333731
611,0.0550496687,0.316725101
612,0.0547060447,0.3099150173
613,0.0543489212,0.3032914523
614,0.0539785597,0.2968435182
615,0.053595219,0.2905610786
616,0.0531991546,0.2844347095
617,0.0527906187,0.2784556561
618,0.0523698601,0.272615788
619,0.0519371241,0.2669075544
620,0.0514926528,0.261323941
621,0.0510366845,0.2558584287
622,0.0505694543,0.2505049548
623,0.0500911935,0.2452578763
624,0.0496021302,0.240111937
625,0.0491024891,0.2350622363
626,0.0485924915,0.2301042006
627,0.0480723552,0.2252335571
628,0.0475422949,0.2204463105
629,0.0470025217,0.2157387206
630,0.0464532438,0.2111072827
631,0.0458946659,0.2065487094
632,0.0453269896,0.2020599138
633,0.0447504133,0.1976379945
634,0.0441651325,0.1932802215
635,0.0435713391,0.1889840241
636,0.0429692225,0.1847469786
637,0.0423589687,0.1805667982
638,0.0417407608,0.1764413231
639,0.0411147788,0.1723685115
640,0.0404812,0.1683464317
641,0.0398401986,0.1643732545
642,0.0391919459,0.1604472461
643,0.0385366105,0.1565667618
644,0.037874358,0.1527302406
645,0.0372053514,0.1489361992
646,0.0365297507,0.1451832275
647,0.0358477133,0.1414699835
648,0.035159394,0.1377951897
649,0.0344649448,0.1341576286
650,0.033764515,0.1305561394
651,0.0330582516,0.1269896144
652,0.0323462986,0.123456996
653,0.0316287978,0.1199572739
654,0.0309058885,0.1164894821
