Temp,"HSN(Mg,Mg)","HSN(Zn,Zn)","HSN(Mg,Zn)"
851,264951,230150,-12073.8
850,261985,227486,-12039
849,259090,224897,-12004.5
848,256266,222380,-11970.3
847,253510,219931,-11936.6
846,250819,217549,-11903.2
845,248191,215231,-11870.2
844,245624,212976,-11837.6
843,243116,210780,-11805.4
842,240666,208643,-11773.6
841,238271,206561,-11742.1
840,235930,204534,-11711
839,233640,202560,-11680.3
838,231401,200636,-11649.9
837,229211,198761,-11620
836,227068,196934,-11590.4
835,224972,195153,-11561.2
834,222919,193417,-11532.3
833,220910,191724,-11503.9
832,218943,190073,-11475.8
831,217017,188463,-11448.1
830,215131,186893,-11420.8
829,213283,185360,-11393.9
828,211473,183865,-11367.3
827,209699,182406,-11341.1
826,207960,180982,-11315.2
825,206256,179592,-11289.8
824,204586,178235,-11264.7
823,202948,176910,-11240
822,201342,175616,-11215.6
821,199767,174353,-11191.6
820,198223,173119,-11168
819,196707,171913,-11144.8
818,195221,170736,-11121.9
817,193762,169585,-11099.3
816,192331,168461,-11077.1
815,190926,167363,-11055.3
814,189547,166289,-11033.9
813,188194,165239,-11012.7
812,186865,164213,-10992
811,185560,163210,-10971.6
810,184279,162230,-10951.5
809,183021,161271,-10931.8
808,181785,160333,-10912.4
807,180571,159416,-10893.4
806,179379,158519,-10874.7
805,178208,157642,-10856.4
804,177057,156783,-10838.4
803,175926,155943,-10820.7
802,174814,155122,-10803.3
801,173722,154317,-10786.3
800,172649,153530,-10769.6
799,171593,152760,-10753.2
798,170556,152006,-10737.2
797,169536,151268,-10721.5
796,168534,150546,-10706.1
795,167548,149839,-10691
794,166578,149146,-10676.2
793,165625,148468,-10661.7
792,164687,147804,-10647.6
791,163765,147153,-10633.7
790,162858,146516,-10620.2
789,161966,145892,-10606.9
788,161088,145281,-10594
787,160225,144682,-10581.3
786,159375,144095,-10569
785,158539,143520,-10556.9
784,157716,142957,-10545.1
783,156907,142405,-10533.6
782,156110,141865,-10522.4
781,155326,141335,-10511.5
780,154554,140815,-10500.9
779,153795,140306,-10490.5
778,153047,139807,-10480.4
777,152311,139318,-10470.6
776,151586,138839,-10461
775,150872,138369,-10451.7
774,150170,137908,-10442.7
773,149478,137456,-10434
772,148797,137014,-10425.5
771,148126,136580,-10417.2
770,147465,136154,-10409.3
769,146815,135737,-10401.5
768,146174,135328,-10394.1
767,145543,134927,-10386.8
766,144921,134534,-10379.8
765,144309,134149,-10373.1
764,143705,133771,-10366.6
763,143111,133401,-10360.4
762,142525,133038,-10354.4
761,141948,132682,-10348.6
760,141380,132334,-10343
759,140819,131992,-10337.7
758,140267,131657,-10332.7
757,139723,131329,-10327.8
756,139187,131007,-10323.2
755,138659,130692,-10318.8
754,138138,130383,-10314.6
753,137625,130081,-10310.7
752,137119,129785,-10306.9
751,136620,129494,-10303.4
750,136129,129210,-10300.1
749,135644,128932,-10297
748,135167,128660,-10294.2
747,134696,128393,-10291.5
746,134231,128132,-10289
745,133774,127877,-10286.8
744,133322,127627,-10284.8
743,132877,127383,-10282.9
742,132439,127144,-10281.3
741,132006,126910,-10279.8
740,131579,126682,-10278.6
739,131159,126459,-10277.6
738,130744,126241,-10276.7
737,130335,126028,-10276.1
736,129931,125820,-10275.6
735,129533,125617,-10275.4
734,129141,125420,-10275.3
733,128754,125227,-10275.4
732,128373,125039,-10275.7
731,127996,124855,-10276.2
730,127625,124677,-10276.9
729,127259,124503,-10277.7
728,126898,124334,-10278.7
727,126542,124170,-10280
726,126190,124010,-10281.3
725,125844,123855,-10282.9
724,125502,123704,-10284.7
723,125165,123558,-10286.6
722,124833,123416,-10288.7
721,124505,123279,-10290.9
720,124181,123146,-10293.4
719,123862,123018,-10296
718,123548,122894,-10298.8
717,123237,122774,-10301.7
716,122931,122659,-10304.8
715,122629,122548,-10308.1
714,122332,122441,-10311.5
713,122038,122339,-10315.1
712,121748,122240,-10318.9
711,121463,122146,-10322.8
710,121181,122057,-10326.9
709,120903,121971,-10331.1
708,120629,121890,-10335.5
707,120359,121813,-10340
706,120093,121740,-10344.7
705,119830,121671,-10349.6
704,119571,121606,-10354.6
703,119316,121545,-10359.7
702,119064,121489,-10365
701,118816,121437,-10370.5
700,118571,121388,-10376.1
699,118330,121344,-10381.9
698,118092,121304,-10387.7
697,117858,121268,-10393.8
696,117627,121236,-10400
695,117399,121208,-10406.3
694,117174,121184,-10412.7
693,116953,121165,-10419.3
692,116735,121149,-10426.1
691,116521,121138,-10433
690,116309,121130,-10440
689,116101,121127,-10447.1
688,115895,121127,-10454.4
687,115693,121132,-10461.8
686,115494,121141,-10469.4
685,115298,121154,-10477.1
684,115105,121171,-10484.9
683,114914,121192,-10492.8
682,114727,121217,-10500.9
681,114543,121246,-10509.1
680,114361,121279,-10517.4
679,114183,121317,-10525.9
678,114007,121358,-10534.4
677,113834,121404,-10543.1
676,113664,121454,-10552
675,113497,121508,-10560.9
674,113332,121566,-10570
673,113170,121628,-10579.1
672,113011,121694,-10588.4
671,112855,121765,-10597.8
670,112701,121839,-10607.4
669,112550,121918,-10617
668,112402,122001,-10626.7
667,112256,122089,-10636.6
666,112113,122180,-10646.6
665,111972,122276,-10656.7
664,111834,122376,-10666.9
663,111699,122480,-10677.2
662,111566,122589,-10687.6
661,111435,122702,-10698.1
660,111307,122819,-10708.7
659,111182,122941,-10719.4
658,111059,123067,-10730.2
657,110938,123197,-10741.2
656,110820,123332,-10752.2
655,110705,123471,-10763.3
654,110592,123615,-10774.6
653,110481,123763,-10785.9
