T,d2G_LIQUID_AL_0.817
793,10866.5502492416
794,10926.4246835996
795,10990.1177624771
796,11057.6687408726
797,11129.1205492678
798,11204.5155367652
799,11283.8969177761
800,11367.3088185890
801,11454.7963514868
802,11546.4056993085
803,11642.1842066645
804,11742.1804766691
805,11846.4444727615
806,11955.0276254202
807,12067.9829436733
808,12185.3651313559
809,12307.2307080999
810,12433.6381350646
811,12564.6479454524
812,12700.3228798712
813,12840.7280266450
814,12985.9309671881
815,13136.0019266170
816,13291.0139297794
817,13451.0429629354
818,13616.1681413604
819,13786.4718831732
820,13962.0400897424
821,14142.9623330620
822,14329.3320505380
823,14521.2467476727
824,14718.8082091874
825,14922.1227191746
826,15131.3012909244
827,15346.4599071417
828,15567.7197713149
829,15795.2075710842
830,16029.0557545002
831,16269.4028201898
832,16516.3936224527
833,16770.1796924853
834,17030.9195769480
835,17298.7791952468
836,17573.9322169782
837,17856.5604611300
838,18146.8543187367
839,18445.0132008602
840,18751.2460138851
841,19065.7716643371
842,19388.8195955584
843,19720.6303588406
844,20061.4562217986
845,20411.5618170237
846,20771.2248343494
847,21140.7367603411
848,21520.4036689510
849,21910.5470676820
850,22311.5048039604
851,22723.6320369265
852,23147.3022803022
853,23582.9085225837
854,24030.8644314283
855,24491.6056497869
856,24965.5911920874
857,25453.3049496865
858,25955.2573156947
859,26471.9869404188
860,27004.0626297774
861,27552.0854003965
862,28116.6907064638
863,28698.5508547393
864,29298.3776253016
865,29916.9251152071
866,30554.9928167437
867,31213.4289127250
868,31893.1336010494
869,32595.0605790587
870,33320.2520382586
