T,Cp,H_Latent_1
K,J/(mole K),J/mole
793,30.1518051121056,9847.99144123476
794,30.161708839624,9873.88367112968
795,30.1716347613524,9899.40358772095
796,30.1815827225643,9924.54929296042
797,30.1915525678545,9949.31911996911
798,30.2015441411382,9973.71163604832
799,30.21155728565,9997.72564465347
800,30.2215918439427,10021.3601863568
801,30.2316476578858,10044.6145388301
802,30.2417245686652,10067.4882158805
803,30.2518224167811,10089.9809655852
804,30.2619410420476,10112.0927675678
805,30.272080283591,10133.8238294705
806,30.2822399798492,10155.1745826741
807,30.29241996857,10176.1456773237
808,30.3026200868103,10196.7379767195
809,30.3128401709347,10216.9525511328
810,30.3230800566145,10236.7906711077
811,30.3333395788263,10256.2538003122
812,30.343618571851,10275.3435879968
813,30.3539168692727,10294.0618611217
814,30.3642343039771,10312.4106162115
815,30.3745707081506,10330.3920109935
816,30.384925913279,10348.0083558725
817,30.3952997501464,10365.2621052965
818,30.4056920488337,10382.1558490595
819,30.4161026387178,10398.6923035877
820,30.4265313484697,10414.8743032531
821,30.4369780060541,10430.7047917519
822,30.4474424387275,10446.1868135841
823,30.4579244730372,10461.3235056675
824,30.46842393482,10476.1180891136
825,30.478940649201,10490.5738611935
826,30.4894744405922,10504.6941875136
827,30.5000251326915,10518.4824944234
828,30.5105925484811,10531.9422616698
829,30.5211765102265,10545.0770153124
830,30.5317768394748,10557.8903209109
831,30.542393357054,10570.3857769935
832,30.5530258830714,10582.5670088109
833,30.5636742369119,10594.4376623821
834,30.5743382372375,10606.0013988328
835,30.5850177019855,10617.2618890266
836,30.5957124483671,10628.2228084887
837,30.6064222928664,10638.8878326187
838,30.617147051239,10649.2606321884
839,30.6278865385103,10659.34486912
840,30.6386405689747,10669.1441925381
841,30.6494089561941,10678.6622350893
842,30.6601915129961,10687.902609521
843,30.6709880514736,10696.868905512
844,30.6817983829823,10705.5646867456
845,30.6926223181404,10713.9934882165
846,30.7034596668265,10722.158813763
847,30.7143102381785,10730.0641338134
848,30.7251738405925,10737.7128833387
849,30.7360502817208,10745.1084600014
850,30.7469393684712,10752.2542224903
851,30.7578409070051,10759.1534890331
852,30.7687547027364,10765.8095360762
853,30.7796805603299,10772.2255971234
854,30.7906182837003,10778.404861724
855,30.8015676760103,10784.3504746019
856,30.8125285396694,10790.0655349171
857,30.8235006763328,10795.5530956508
858,30.8344838868993,10800.8161631069
859,30.8454779715106,10805.8576965227
860,30.8564827295494,10810.6806077794
861,30.8674979596383,10815.2877612074
862,30.8785234596381,10819.6819734788
863,30.8895590266465,10823.8660135804
864,30.9006044569966,10827.842602862
865,30.9116595462556,10831.614415153
866,30.9227240892231,10835.1840769422
867,30.9337978799301,10838.5541676164
868,30.944880711637,10841.7272197513
869,30.9559723768324,10844.7057194512
870,30.9670726672318,10847.4921067326
