T,Cp,H
K,J/(moleK),J/mole
1560,36.13595625,27355.05559
1561,36.15086869,27430.70941
1562,36.16592021,27507.11633
1563,36.18115212,27584.29467
1564,36.19653725,27662.26327
1565,36.2120797,27741.04152
1566,36.22776609,27820.64939
1567,36.24361696,27901.1074
1568,36.25962757,27982.43671
1569,36.27585578,28064.65911
1570,36.29222607,28147.79701
1571,36.30884278,28231.87352
1572,36.32557998,28316.91243
1573,36.34252717,28402.93827
1574,36.35967642,28489.97627
1575,36.3770379,28578.05247
1576,36.39459621,28667.1937
1577,36.41237272,28757.4276
1578,36.43038246,28848.78268
1579,36.44860118,28941.28833
1580,36.46707224,29034.97486
1581,36.48576889,29129.87353
1582,36.50470279,29226.01657
1583,36.5238992,29323.43725
1584,36.54336836,29422.16988
1585,36.56307605,29522.2499
1586,36.58304532,29623.71382
1587,36.6033528,29726.59941
1588,36.62390935,29830.9456
1589,36.64472529,29936.7926
1590,36.66589028,30044.18195
1591,36.68734927,30153.15656
1592,36.70911743,30263.76073
1593,36.73126406,30376.04026
1594,36.75372422,30490.04244
1595,36.77653222,30605.81618
1596,36.79967045,30723.41201
1597,36.823205,30842.88219
1598,36.84712906,30964.28073
1599,36.87144114,31087.66353
1600,36.89613523,31213.08835
1601,36.92126483,31340.615
1602,36.94681992,31470.30534
1603,36.9727965,31602.22337
1604,36.99925205,31736.43538
1605,37.02618198,31873.00994
1606,37.05355764,32012.0181
1607,37.0814575,32153.53342
1608,37.10987899,32297.63207
1609,37.13879405,32444.39303
1610,37.16824666,32593.89807
1611,37.19831493,32746.23198
1612,37.22892791,32901.48264
1613,37.26013273,33059.74117
1614,37.29199976,33221.10209
1615,37.32444422,33385.6634
1616,37.35759145,33553.52681
1617,37.39135929,33724.79787
1618,37.42590478,33899.5861
1619,37.46112994,34078.00526
1620,37.49710462,34260.17344
1621,37.53387041,34446.21332
1622,37.57142546,34636.25236
1623,37.60982721,34830.42301
1624,37.64907693,35028.86295
1625,37.68920273,35231.71536
1626,37.73026465,35439.1291
1627,37.77223157,35651.25909
1628,37.81522492,35868.26649
1629,37.85920065,36090.31908
1630,37.90424543,36317.59158
1631,37.95041891,36550.26592
1632,37.99765223,36788.53167
1633,38.04609768,37032.58639
1634,38.09577199,37282.63602
1635,38.14669424,37538.89538
1636,38.19891504,37801.58855
1637,38.25249226,38070.94936
1638,38.30746926,38347.22194
1639,38.36390152,38630.66127
1640,38.42188995,38921.53369
1641,38.48143457,39220.11762
1642,38.54259544,39526.70415
1643,38.60550141,39841.59776
1644,38.67013406,40165.11709
1645,38.73662997,40497.5957
1646,38.8050386,40839.38302
1647,38.87545098,41190.84513
1648,38.94794481,41552.36586
1649,39.02257346,41924.34781
1650,39.09944605,42307.21343
1651,39.17869708,42701.40632
1652,39.26039695,43107.39245
1653,39.34465908,43525.66161
1654,39.43160325,43956.75219
1655,39.5212626,44401.13714
